Date,Eruption,Seismicity,Acidity,Temperature (in Celsius),SO2,Plume (in meters),Ground Deformation
"September 11, 2022",,7,,66.5,3265,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 12, 2022",,0,,66.5,3265,300,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 13, 2022",,0,,66.5,3265,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 14, 2022",,0,,66.5,1725,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 15, 2022",,0,,66.5,1725,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 16, 2022",,1,,66.5,4301,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 17, 2022",,5,,66.5,4301,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 18, 2022",,2,,66.5,4301,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 19, 2022",,2,,66.5,4301,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 20, 2022",,1,,66.5,5915,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 21, 2022",,3,,66.5,5915,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 22, 2022",,1,,66.5,5915,1200,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 23, 2022",,1,,66.5,5915,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 24, 2022",,4,,66.5,8107,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 25, 2022",,6,,66.5,8107,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 26, 2022",,8,,66.5,8107,1200,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 27, 2022",,2,,66.5,8107,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
